INFO:root: timestamp: 2018-10-11 15:37:24.626536, status_code: 200, request_epoch_(sec): 0.04167795181274414
INFO:root: timestamp: 2018-10-11 15:37:27.625333, status_code: 200, request_epoch_(sec): 0.03972506523132324
INFO:root: timestamp: 2018-10-11 15:37:30.631060, status_code: 200, request_epoch_(sec): 0.03981280326843262
INFO:root: timestamp: 2018-10-11 15:37:33.629524, status_code: 200, request_epoch_(sec): 0.03673076629638672
INFO:root: timestamp: 2018-10-11 15:37:36.639609, status_code: 200, request_epoch_(sec): 0.04243803024291992
INFO:root: timestamp: 2018-10-11 15:37:39.641978, status_code: 200, request_epoch_(sec): 0.042704105377197266
INFO:root: timestamp: 2018-10-11 15:37:42.641419, status_code: 200, request_epoch_(sec): 0.04170703887939453
INFO:root: timestamp: 2018-10-11 15:37:45.643275, status_code: 200, request_epoch_(sec): 0.040535926818847656
INFO:root: timestamp: 2018-10-11 15:37:48.645633, status_code: 200, request_epoch_(sec): 0.039286136627197266
INFO:root: timestamp: 2018-10-11 15:37:51.651878, status_code: 200, request_epoch_(sec): 0.04283332824707031
INFO:root: timestamp: 2018-10-11 15:37:54.652006, status_code: 200, request_epoch_(sec): 0.04262280464172363
INFO:root: timestamp: 2018-10-11 15:37:57.657847, status_code: 200, request_epoch_(sec): 0.044532060623168945
INFO:root: timestamp: 2018-10-11 15:38:00.654176, status_code: 200, request_epoch_(sec): 0.03938579559326172
INFO:root: timestamp: 2018-10-11 15:38:03.658134, status_code: 200, request_epoch_(sec): 0.04168820381164551
INFO:root: timestamp: 2018-10-11 15:38:06.659514, status_code: 200, request_epoch_(sec): 0.04245710372924805
INFO:root: timestamp: 2018-10-11 15:38:09.661212, status_code: 200, request_epoch_(sec): 0.04254889488220215
INFO:root: timestamp: 2018-10-11 15:38:12.669327, status_code: 200, request_epoch_(sec): 0.04794907569885254
INFO:root: timestamp: 2018-10-11 15:38:15.664533, status_code: 200, request_epoch_(sec): 0.040328025817871094
INFO:root: timestamp: 2018-10-11 15:38:18.672885, status_code: 200, request_epoch_(sec): 0.04305005073547363
INFO:root: timestamp: 2018-10-11 15:38:21.671161, status_code: 200, request_epoch_(sec): 0.04043221473693848
INFO:root: timestamp: 2018-10-11 15:38:24.673248, status_code: 200, request_epoch_(sec): 0.04116511344909668
INFO:root: timestamp: 2018-10-11 15:38:27.672317, status_code: 200, request_epoch_(sec): 0.03747916221618652
INFO:root: timestamp: 2018-10-11 15:38:30.675830, status_code: 200, request_epoch_(sec): 0.04038500785827637
INFO:root: timestamp: 2018-10-11 15:38:33.677391, status_code: 200, request_epoch_(sec): 0.03664207458496094
INFO:root: timestamp: 2018-10-11 15:38:36.686142, status_code: 200, request_epoch_(sec): 0.040125131607055664
INFO:root: timestamp: 2018-10-11 15:38:39.690783, status_code: 200, request_epoch_(sec): 0.04330182075500488
INFO:root: timestamp: 2018-10-11 15:38:42.688833, status_code: 200, request_epoch_(sec): 0.04038190841674805
INFO:root: timestamp: 2018-10-11 15:38:45.691195, status_code: 200, request_epoch_(sec): 0.037873268127441406
INFO:root: timestamp: 2018-10-11 15:38:48.696901, status_code: 200, request_epoch_(sec): 0.042513132095336914
INFO:root: timestamp: 2018-10-11 15:38:51.694930, status_code: 200, request_epoch_(sec): 0.0401310920715332
INFO:root: timestamp: 2018-10-11 15:38:54.697007, status_code: 200, request_epoch_(sec): 0.03670310974121094
INFO:root: timestamp: 2018-10-11 15:38:57.701653, status_code: 200, request_epoch_(sec): 0.04061293601989746
INFO:root: timestamp: 2018-10-11 15:39:00.703042, status_code: 200, request_epoch_(sec): 0.04068779945373535
INFO:root: timestamp: 2018-10-11 15:39:03.719581, status_code: 200, request_epoch_(sec): 0.051767826080322266
INFO:root: timestamp: 2018-10-11 15:39:06.715456, status_code: 200, request_epoch_(sec): 0.04214000701904297
INFO:root: timestamp: 2018-10-11 15:39:09.716801, status_code: 200, request_epoch_(sec): 0.040984153747558594
INFO:root: timestamp: 2018-10-11 15:39:12.770973, status_code: 200, request_epoch_(sec): 0.0896461009979248
INFO:root: timestamp: 2018-10-11 15:39:15.723603, status_code: 200, request_epoch_(sec): 0.04156994819641113
INFO:root: timestamp: 2018-10-11 15:39:18.733104, status_code: 200, request_epoch_(sec): 0.05041313171386719
INFO:root: timestamp: 2018-10-11 15:39:21.724834, status_code: 200, request_epoch_(sec): 0.04141688346862793
